delta,lat,lon,depth_top_cm,depth_bot_cm,soc,ph,clay,silt,sand,source
Chao Phraya,13.379722222222222,99.99166666666666,14.0,58.0,5.4,4.6,46.0,45.0,9.0,WoSIS
Chao Phraya,13.379722222222222,99.99166666666666,58.0,93.0,2.0,4.3,44.0,48.0,8.0,WoSIS
Chao Phraya,13.379722222222222,99.99166666666666,93.0,110.0,1.6,4.3,47.0,33.0,20.0,WoSIS
Chao Phraya,13.828888888888889,100.80277777777778,0.0,23.0,13.6,4.2,54.0,44.0,2.0,WoSIS
Chao Phraya,13.828888888888889,100.80277777777778,23.0,54.0,5.0,4.2,62.0,36.0,3.0,WoSIS
Chao Phraya,13.828888888888889,100.80277777777778,54.0,96.0,4.0,4.0,60.0,27.0,14.0,WoSIS
Chao Phraya,13.828888888888889,100.80277777777778,96.0,114.0,4.0,4.5,58.0,39.0,2.0,WoSIS
Pearl,23.216666666666665,113.46666666666668,23.0,50.0,2.8,5.2,40.0,13.0,47.0,WoSIS
Pearl,23.216666666666665,113.46666666666668,50.0,60.0,1.6,5.2,39.0,15.0,46.0,WoSIS
Pearl,23.216666666666665,113.46666666666668,80.0,120.0,1.9,5.2,34.0,23.0,43.0,WoSIS
Sacramento,38.3288878999999,-121.8150024,0.0,10.0,21.3,6.3,32.4,58.4,9.2,WoSIS
Sacramento,38.3288878999999,-121.8150024,10.0,36.0,5.4,9.1,39.2,41.5,19.3,WoSIS
Sacramento,38.3288878999999,-121.8150024,36.0,56.0,2.4,9.15,41.0,40.9,18.1,WoSIS
Sacramento,38.3288878999999,-121.8150024,56.0,86.0,1.2,9.0,39.6,40.4,20.0,WoSIS
Sacramento,38.3288878999999,-121.8150024,86.0,119.0,0.7,9.05,34.9,42.1,23.0,WoSIS
Sacramento,38.2158317999999,-122.4161148,0.0,18.0,50.1,4.2,58.9,39.7,1.4,WoSIS
Sacramento,38.2158317999999,-122.4161148,18.0,36.0,50.4,4.1,60.7,37.9,1.4,WoSIS
Sacramento,38.2158317999999,-122.4161148,36.0,56.0,26.3,3.7,59.0,40.2,0.8,WoSIS
Sacramento,38.2158317999999,-122.4161148,56.0,79.0,22.9,3.7,60.7,38.5,0.8,WoSIS
Sacramento,38.2158317999999,-122.4161148,79.0,130.0,19.6,3.6,58.1,41.2,0.7,WoSIS
Mississippi,30.1113892,-90.6230544999999,13.0,26.0,344.0,6.0,74.5,24.3,1.2,WoSIS
Mississippi,30.1113892,-90.6230544999999,77.0,102.0,18.0,7.6,82.6,17.3,0.1,WoSIS
Mississippi,30.4677277,-88.5069809,0.0,8.0,30.6,4.5,9.7,71.2,19.1,WoSIS
Mississippi,30.4677277,-88.5069809,8.0,13.0,16.6,4.5,14.2,67.7,18.1,WoSIS
Mississippi,30.4677277,-88.5069809,13.0,18.0,9.5,4.5,20.5,63.8,15.7,WoSIS
Mississippi,30.4677277,-88.5069809,18.0,183.0,2.1,4.5,44.9,49.7,5.4,WoSIS
Amazon,0.2167,-50.9167,0.0,10.0,34.9,4.6,25.0,73.0,2.0,WoSIS
